2017-05-22 10:03:40,482 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::Plain SOAP/direction::Receiver/version::1.2.1
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::IDOC/tp::HTTP/mp::IDoc SOAP/direction::Receiver/version::1.2.0
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SuccessFactors/tp::HTTP/mp::SOAP/direction::Sender/version::1.2.1
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name LoopingProcess
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ErrorEndEvent
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name get
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::IDOC/tp::HTTP/mp::IDoc SOAP/direction::Sender/version::1.1.3
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name On-Premise Connectivity
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::MessageEndEvent/version::1.1.0
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SuccessFactors/tp::HTTP/mp::OData V4/direction::Receiver/version::1.3.0
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SFTP/tp::SFTP/mp::File/direction::Sender/version::1.2.1
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::HTTP/tp::HTTP/mp::None/direction::Receiver/version::1.2.1
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::IDoc/version::1.0.0
2017-05-22 10:03:40,483 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Mail
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowElementVariant/cname::IntegrationProcess/version::1.0
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name HTTPS
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::MIME Multipart Message Encode/version::1.0.1
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ExclusiveGateway
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name select
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::JsonToXmlConverter
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::CsvToXmlConverter/version::1.1.2
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::MessageMapping
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Sender
2017-05-22 10:03:40,484 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Send
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::Plain SOAP/direction::Receiver/version::1.4.1
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::IDOC/tp::HTTP/mp::IDoc SOAP/direction::Receiver/version::1.1.0
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name delete
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::Camel/version::1.0.2
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::Camel/version::1.1.2
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SuccessFactors/tp::HTTP/mp::OData V2/direction::Receiver/version::1.4
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SuccessFactors/tp::HTTP/mp::OData V2/direction::Receiver/version::1.5
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::HTTP/tp::HTTP/mp::None/direction::Receiver/version::1.1.0
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::ErrorStartEvent
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SuccessFactors/tp::HTTP/mp::SOAP/direction::Receiver/version::1.2.1
2017-05-22 10:03:40,485 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::HCIOData/tp::HTTP/mp::OData V2/direction::Receiver/version::1.2.0
2017-05-22 10:03:40,486 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name XMLDigitalSignMessage
2017-05-22 10:03:40,486 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::MessageStartEvent
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::SimpleSignMessage/version::1.0.0
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::XMLDigitalVerifySign
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::SequentialMulticast/version::1.0.0
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::put/version::1.1.1
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::Plain SOAP/direction::Receiver/version::1.1.5
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::Enricher/version::1.1.4
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::Join/version::1.0.0
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SuccessFactors/tp::HTTP/mp::OData V4/direction::Receiver/version::1.2.0
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Filter
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Decrypt
2017-05-22 10:03:40,487 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Enricher
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::ODataSender/tp::HTTP/mp::OData V2/direction::Sender/version::1.1
